# Official 通用规范汉字 readings from mozillazg/pinyin-data kTGHZ2013
# Frequency copied from the character unigram so alternate readings stay typeable.
bian	9	匾
bian	7	苄
bian	6	忭
bian	2	煸
bian	2	碥
bian	1	抃
bian	1	昪
bian	1	汴
bian	1	砭
bian	1	笾
bian	1	鳊
bian	1	𨚕
biao	1447	表
biao	208	婊
biao	120	标
biao	106	镖
biao	80	摽
biao	80	杓
biao	80	膘
biao	80	藨
biao	80	骠
biao	66	飙
biao	49	裱
biao	44	彪
biao	5	飑
biao	3	鳔
biao	2	俵
biao	1	儦
biao	1	幖
biao	1	瀌
biao	1	熛
biao	1	瘭
biao	1	脿
biao	1	镳
biao	1	骉
bie	89878	别
bie	381	憋
bie	93	瘪
bie	80	癿
bie	49	鳖
bie	6	蹩
bin	325	宾
bin	179	斌
bin	80	彬
bin	80	槟
bin	80	玢
bin	80	豳
bin	38	滨
bin	24	膑
bin	13	摈
bin	12	濒
bin	7	鬓
bin	6	殡
bin	4	缤
bin	3	邠
bin	1	傧
bin	1	镔
bin	1	髌
bing	45252	并
bing	5734	病
bing	1737	冰
bing	1351	兵
bing	1150	饼
bing	962	炳
bing	226	柄
bing	80	屏
bing	80	槟
bing	60	禀
bing	23	丙
bing	10	摒
bing	5	秉
bing	1	昺
bing	1	蛃
bing	1	邴
bo	1837	波
bo	735	博
bo	661	拨
bo	369	泊
bo	318	播
bo	250	玻
bo	167	钵
bo	153	搏
bo	144	勃
bo	138	啵
bo	132	卜
bo	128	跛
bo	88	渤
bo	86	脖
bo	80	伯
bo	80	剥
bo	80	哱
bo	80	擘
bo	80	柏
bo	80	桲
bo	80	檗
bo	80	砵
bo	80	膊
bo	80	艴
bo	80	蕃
bo	80	薄
bo	80	踣
bo	80	馞
bo	80	鲌
bo	58	菠
bo	48	帛
bo	40	铂
bo	37	舶
bo	31	驳
bo	11	钹
bo	10	亳
bo	9	箔
bo	3	簸
bo	2	礴
bo	1	僰
bo	1	嶓
bo	1	欂
bo	1	浡
bo	1	袯
bo	1	镈
bo	1	饽
bo	1	鹁
bo	1	𬭛
bu	725410	不
bu	3133	布
bu	2662	部
bu	576	步
bu	498	补
bu	317	簿
bu	164	捕
bu	164	钚
bu	80	卜
bu	80	卟
bu	80	哺
bu	80	埔
bu	80	堡
bu	80	瓿
bu	40	怖
bu	23	逋
bu	15	埠
bu	14	埗
bu	1	晡
bu	1	蔀
bu	1	醭
bu	1	𬷕
ca	2919	擦
ca	80	嚓
cai	71045	才
cai	13205	猜
cai	3059	菜
cai	2420	踩
cai	615	材
cai	289	采
cai	196	彩
cai	184	蔡
cai	152	财
cai	124	裁
cai	80	偲
cai	23	睬
can	1658	惨
can	367	餐
can	294	参
can	263	残
can	133	灿
